"ID","Name","Color"
"3721","Shell Pink Dark","RGBColor[0.614293469479233, 0.26380895910537494, 0.27731432577254395]"
"3722","Shell Pink Medium","RGBColor[0.6723444114576708, 0.34489427492284763, 0.34110790273262703]"
"3726","Antique Mauve Dark","RGBColor[0.61112721580595, 0.35282179635597943, 0.37562424727892046]"
"3727","Antique Mauve Light","RGBColor[0.8427073125707046, 0.6296803291720211, 0.656753296235999]"
"3731","Dusty Rose Very Dark","RGBColor[0.8173351527419668, 0.34079562136300945, 0.43723649923364805]"
"3733","Dusty Rose","RGBColor[0.9141127855294879, 0.5397477288682643, 0.5910330278284703]"
"3740","Antique Violet Dark","RGBColor[0.4741317344945151, 0.3298850697055921, 0.3638558455488417]"
"3743","Antique Violet Very Light","RGBColor[0.8501898817707843, 0.8015477239343819, 0.8251244503352846]"
"3746","Blue Violet Dark","RGBColor[0.4293188450688238, 0.33756002179421307, 0.6229579381236916]"
"3747","Blue Violet Very Light","RGBColor[0.8284890095112949, 0.8325482439424745, 0.9216173833274792]"
"3750","Antique Blue Very Dark","RGBColor[0.17254014493964587, 0.2847433665379586, 0.35395003906662875]"
"3752","Antique Blue Very Light","RGBColor[0.75515285206547, 0.8112569274261896, 0.8425319209839137]"
"3753","Antique Blue Ultra Very Light","RGBColor[0.8465492900715826, 0.8870078264960125, 0.9068410136499032]"
"3755","Baby Blue","RGBColor[0.5452427865418485, 0.6934953561552561, 0.8361523327317175]"
"3756","Baby Blue Ultra Very Light","RGBColor[0.9145275725567834, 0.9558607757669761, 0.9599231655272471]"
"3760","Wedgewood Medium","RGBColor[0.22574621920039162, 0.49840174493443085, 0.630270083692891]"
"3761","Sky Blue Light","RGBColor[0.7210742966710288, 0.8560807882877013, 0.8970372256143245]"
"3765","Peacock Blue Very Dark","RGBColor[0.10295286624187941, 0.44531882765636965, 0.5361490955181649]"
"3766","Peacock Blue Light","RGBColor[0.4361874069855681, 0.6886327879379002, 0.7509761391134476]"
"3768","Gray Green Dark","RGBColor[0.31542553744405316, 0.4108183824639983, 0.39908837347116466]"
"3770","Tawny Very Light","RGBColor[0.9928352678518934, 0.9356122687467067, 0.8592187203337374]"
"3771","Terra Cotta Ultra Very Light","RGBColor[0.9502435053620817, 0.7136793568557505, 0.610430429571654]"
"3772","Desert Sand Very Dark","RGBColor[0.6461390586021399, 0.39865892981340956, 0.2869655166675267]"
"3773","Desert Sand Dark","RGBColor[0.726619831922684, 0.4979147717550514, 0.3912140957716629]"
"3774","Desert Sand Very Light","RGBColor[0.9452029456458605, 0.8500626424992194, 0.7714943733980071]"
"3776","Mahogany Light","RGBColor[0.8122821351089762, 0.4409179585963551, 0.23273992816176317]"
"3777","Terra Cotta Very Dark","RGBColor[0.5648059479046222, 0.18762663555670986, 0.1510372670371246]"
"3778","Terra Cotta Light","RGBColor[0.8184538024701807, 0.48256422036158464, 0.39397395227129006]"
"3779","Rosewood Ultra Very Light","RGBColor[0.9530001460270618, 0.7526525502324084, 0.6873184220534044]"
"3781","Mocha Brown Dark","RGBColor[0.3787995356537318, 0.29303517573996324, 0.2077956950566724]"
"3782","Mocha Brown Light","RGBColor[0.8003602087618764, 0.7114076799471714, 0.5924636502558723]"
"3787","Brown Gray Dark","RGBColor[0.3901193635436535, 0.3548081198552423, 0.2934774749489407]"
"3790","Beige Gray Ultra Dark","RGBColor[0.4755537806806277, 0.39442855685218636, 0.3032038769872812]"
"3799","Pewter Gray Very Dark","RGBColor[0.23827103333146388, 0.24425758439328385, 0.23815416350508262]"
"3801","Melon Very Dark","RGBColor[0.9027937608622266, 0.2617078683251732, 0.32951913903573893]"
"3802","Antique Mauve Very Dark","RGBColor[0.435773272161949, 0.22365290990967676, 0.24947991689337884]"
"3803","Mauve Dark","RGBColor[0.5690515085604053, 0.18589194509584028, 0.30712609619288755]"
"3804","Cyclamen Pink Dark","RGBColor[0.8244680208341278, 0.1791578009063406, 0.41523347025263235]"
"3805","Cyclamen Pink","RGBColor[0.8920623706351976, 0.26417413520911914, 0.4990897509136486]"
"3806","Cyclamen Pink Light","RGBColor[0.9371853920472588, 0.4363227392157245, 0.6099307390741632]"
"3807","Cornflower Blue","RGBColor[0.3302076524177393, 0.3893409744323703, 0.6013089738226937]"
"3808","Turquoise Ultra Very Dark","RGBColor[0.10356330833463132, 0.3295058204083306, 0.3645528926036189]"
"3809","Turquoise Very Dark","RGBColor[0.13460409539822676, 0.43543974258815815, 0.4906124952718558]"
"3810","Turquoise Dark","RGBColor[0.2197537868409901, 0.5768716651309105, 0.6397080701713385]"
"3811","Turquoise Very Light","RGBColor[0.6735696862706113, 0.8548423322036891, 0.8663998613715035]"
"3812","Sea Green Very Dark","RGBColor[0.084433236905016, 0.5860717483306378, 0.5130086152667122]"
"3813","Blue Green Light","RGBColor[0.6059981866303858, 0.7758153784781057, 0.6813163025174701]"
"3814","Aquamarine","RGBColor[0.1454872699106405, 0.5166551774903807, 0.43194039100516524]"
"3815","Celadon Green Dark","RGBColor[0.27296564040704696, 0.47462858108097705, 0.3586158872456036]"
"3816","Celadon Green","RGBColor[0.42408427698874235, 0.6384982066013805, 0.5082042222185168]"
"3817","Celadon Green Light","RGBColor[0.5695678259316524, 0.76549160124339, 0.6537559488385469]"
"3818","Emerald Green Ultra V Dark","RGBColor[0.029778703948438942, 0.3803549091943619, 0.22921057632683112]"
"3819","Moss Green Light","RGBColor[0.8585843696360693, 0.8460008494684588, 0.3367581890302842]"
"3820","Straw Dark","RGBColor[0.856134212355157, 0.66058859504026, 0.2625300640562843]"
"3821","Straw","RGBColor[0.9494886803867891, 0.7927045469267411, 0.35142338899408065]"
"3822","Straw Light","RGBColor[0.9716727179232776, 0.857669270440827, 0.49598448666319866]"
"3823","Yellow Ultra Pale","RGBColor[0.9930143104161977, 0.9610054351162522, 0.8193734641966169]"
"3824","Apricot Light","RGBColor[0.9777729009862689, 0.7288435884854765, 0.6464733306484843]"
"3825","Pumpkin Pale","RGBColor[0.967671082198956, 0.6542578580257488, 0.44554262194339556]"
"3826","Golden Brown","RGBColor[0.6662366910465066, 0.39136478451170764, 0.20062478447367968]"
"3827","Golden Brown Pale","RGBColor[0.9214846413270568, 0.6664676501369908, 0.37203386111906656]"
"3828","Hazelnut Brown","RGBColor[0.6860792341232743, 0.5043007454530384, 0.28681569299657317]"
"3829","Old Gold Very Dark","RGBColor[0.6368316660440575, 0.4313307799137624, 0.1072915655788346]"
"3830","Terra Cotta","RGBColor[0.7112942330376895, 0.29141050785035405, 0.23741516897904466]"
"3831","Raspberry Dark","RGBColor[0.7337390488489406, 0.19577679641115628, 0.30726014893774645]"
"3832","Raspberry Medium","RGBColor[0.8485936968307755, 0.3388981551654873, 0.4179450437869707]"
"3833","Raspberry Light","RGBColor[0.8976951649379108, 0.4916911241337069, 0.5585213741036582]"
"3834","Grape Dark","RGBColor[0.4288393170577155, 0.19203052056569858, 0.3402435594180433]"
"3835","Grape Medium","RGBColor[0.5448511786385268, 0.31658962014811487, 0.45188178002253]"
"3836","Grape Light","RGBColor[0.7488595490183032, 0.5644633127335609, 0.6697473960066336]"
"3837","Lavender Ultra Dark","RGBColor[0.44546013145780455, 0.20889037568884572, 0.48646020794499845]"
